id,name,locality,timezone,is_mobile,is_monitor,distance,lat,lon,country_code,country_name,provider_name,owner_name,first_utc,last_utc
2812792,Kotelnikova St.,,Asia/Almaty,False,False,,43.3104,76.94217,KZ,Kazakhstan,Clarity,Clarity,2024-04-24 16:00:00+00:00,2025-11-30 06:45:36+00:00
2812809,AsiaFood,,Asia/Almaty,False,False,,43.24283,76.82872,KZ,Kazakhstan,Clarity,Clarity,2024-04-24 16:00:00+00:00,2025-10-16 06:30:16+00:00
2812821,School 160,,Asia/Almaty,False,False,,43.33584,76.91287,KZ,Kazakhstan,Clarity,Clarity,2024-04-24 16:00:00+00:00,2025-03-24 14:15:05+00:00
2812826,Zhetysu 47,,Asia/Almaty,False,False,,43.29171,76.9898,KZ,Kazakhstan,Clarity,Clarity,2024-04-24 16:00:00+00:00,2025-10-16 06:43:04+00:00
2812831,"Road, Almaty Industrial Zone",,Asia/Almaty,False,False,,43.31652,76.80429,KZ,Kazakhstan,Clarity,Clarity,2024-04-24 16:00:00+00:00,2025-10-16 07:02:56+00:00
2812833,DIS-7,,Asia/Almaty,False,False,,43.20533,76.77692,KZ,Kazakhstan,Clarity,Clarity,2024-04-24 16:00:00+00:00,2025-10-16 06:39:59+00:00
2819013,Nurly street,,Asia/Almaty,False,False,,43.2288,76.77749,KZ,Kazakhstan,Clarity,Clarity,2024-04-28 16:00:00+00:00,2025-10-07 16:04:11+00:00
2819078,Shkola-Gimnaziya 152,,Asia/Almaty,False,False,,43.30173,76.87217,KZ,Kazakhstan,Clarity,Clarity,2024-04-28 17:00:36+00:00,2025-10-12 13:41:57+00:00
3124030,Ippodrom,,Asia/Almaty,False,False,,43.30778,76.92324,KZ,Kazakhstan,Clarity,Clarity,2024-10-13 04:23:32+00:00,2025-08-01 16:08:05+00:00
3126921,School 186,,Asia/Almaty,False,False,,43.19148,76.80284,KZ,Kazakhstan,Clarity,Clarity,2024-10-13 18:35:46+00:00,2025-09-06 14:14:26+00:00
